node_index,address,recon_error,zscore,anomaly_z2,anomaly_z3
563,0x79fa38a897b6a278daeeb4fc93d29fb137376897,34077.082,-0.6317216,False,False
569,0x858e0ff624a2e1784e21f7a96fcf079d9c7b024a,34077.082,-0.6317216,False,False
574,0x9033609543dfbc28fc80dc0ed90bbaf7d85795f4,34077.082,-0.6317216,False,False
580,0x9f6cc2aa7729fd4c8af4a5277985388e3204c6b0,34077.082,-0.6317216,False,False
595,0xe3ca1466fcd486ae02e46f35bb802a14dae23050,34055.25,-0.63225454,False,False
600,0xf9888ef3e275487a4de70a1a28395dee14e24b0f,34077.082,-0.6317216,False,False
603,0x981eb3e206c0eb53ae9f5e3733a30bf2cad077de,34114.418,-0.63081026,False,False
606,0x14ace5e5645b60097e85fa7bb1b0b2fe7221ceb3,34055.25,-0.63225454,False,False
608,0x47d767c6d445d914f15a17e4fe2bafa52ba07351,34077.082,-0.6317216,False,False
616,0x96eaa7e483373f2a1e94083bf0007226b38407fb,34114.418,-0.63081026,False,False
623,0x0e5f7973e7bbe5b7e9a18c4f7fda33f5d3d7da33,34114.418,-0.63081026,False,False
635,0xd836d44cd66789cc574de1a626cc49882374d545,34114.418,-0.63081026,False,False
638,0x66ade122e6365b49dd76fef7a5430ecf4ef4847d,34114.418,-0.63081026,False,False
645,0x270c092d4aa7e226a2b346b5d57a7a25145c47f0,34114.418,-0.63081026,False,False
646,0x5d5bbef6c8e5f267017e862b8d202cdb068fd067,34114.418,-0.63081026,False,False
659,0x401bb20a4483d565e9a6c547fa62fa9f5e127e4b,34114.418,-0.63081026,False,False
663,0x7eeb110208b930c68c20f10f8e4d1426b17e5ed8,34114.418,-0.63081026,False,False
666,0x403140b0d22cd7bef03e6b61c19f8b10c9173ff2,34114.418,-0.63081026,False,False
667,0xe6dceb7129f95b2b335d160a800c6b043921fd73,34114.418,-0.63081026,False,False
671,0x0c3faa94bb78d5451338c9ae9e5099c08554f9e2,34114.418,-0.63081026,False,False
673,0xe126796b822f4f8076d8d8a696409d9351a27bce,34114.418,-0.63081026,False,False
675,0xc0e322560a78701ec5f5c3c6255cf0eccfd2e210,34114.418,-0.63081026,False,False
688,0xbf2af5e1ac7102d25c5163c807f7d6272d26a257,34114.418,-0.63081026,False,False
698,0xc7ec351b3008507b3ccd1b17d31ec6205eae0e2c,34114.418,-0.63081026,False,False
699,0xb67c6aa268a76adbb1b00a9e32025018f50fb5f6,34114.418,-0.63081026,False,False
709,0x68c111e35d76f591332f5ac7fdfe645857eac306,36407.113,-0.5748468,False,False
713,0xd691823166e3b373097f157a2a6547b06d4c169d,34077.082,-0.6317216,False,False
716,0xec2e6f6e58eccdde80e150d063e7c2eb39ef9a8e,34033.9,-0.6327757,False,False
717,0xed73183536c52d682354ff3f92eb78427078f1cc,34077.082,-0.6317216,False,False
722,0x07889c62c12d221a05ac322c31d9719830b2c7fe,34077.082,-0.6317216,False,False
723,0x08bc91fdf0e50228aa63526926517cf905d97caa,34077.082,-0.6317216,False,False
728,0x1b9c8da4f4fccb8102959697fa06e478e9e9f4e2,34077.082,-0.6317216,False,False
732,0x23764a51ba4b18f0ded97f7d395d8eb8bcd534b0,34077.082,-0.6317216,False,False
740,0x4e0981fcaa08f05c533942df39146c973847ef50,34077.082,-0.6317216,False,False
753,0x807ee09c5651deb51e0d2a4c272db0d52ca98859,34077.082,-0.6317216,False,False
760,0xad56429161d745703e1790171c27b55880c49a5f,34203.58,-0.6286339,False,False
766,0xb7b2acd8d9798a4ca86cc53b68144c6977e3ebf8,34077.082,-0.6317216,False,False
768,0xc6e721a3e38423d4de08bdad47cf981298369114,34077.082,-0.6317216,False,False
769,0xcaddbc1f7483bec6c428904aaea3e0222888b22f,34077.082,-0.6317216,False,False
770,0xcdef5f2a82fb82a21bfc253936878dff277863ff,34077.082,-0.6317216,False,False
774,0xeb9fbfa5cdd0583dd10f9c25cf637dac786c7769,34114.418,-0.63081026,False,False
775,0x936e5b3effb8485b2cd6c0d749379ca6574c3839,34114.418,-0.63081026,False,False
784,0xba96cbe070aaf7ca56f3d6807f553b161dd81abf,34077.082,-0.6317216,False,False
793,0x540ff3c43ecf5161bb3172e1b0b314c8ff40549b,34114.418,-0.63081026,False,False
797,0xcd0f6fa30bcb604136c937039d6935971533337f,34114.418,-0.63081026,False,False
804,0x24d8baa826f4568e64a4519cb0363f80599ad850,34114.418,-0.63081026,False,False
814,0x487216bd9f84e3455610ad25b1da19e1d744151c,34114.418,-0.63081026,False,False
815,0x08baf86639837606dc7fae112089d2fc5590c896,34114.418,-0.63081026,False,False
822,0x8e05fd3bcdc095422a32a8f2d257281a4eed9352,34077.082,-0.6317216,False,False
823,0x137d4cfdedcdb78af66e67d71bc932d306f3caf6,34114.418,-0.63081026,False,False
825,0xe368be9a9bc44446413ea07538c36bef3ebed4c9,34114.418,-0.63081026,False,False
827,0x28abd644c68b93cf497c807f9adab9b61c61dc05,34114.418,-0.63081026,False,False
830,0x804651086fd9093f3d505f5f560d8a19c2639665,39752.82,-0.49317995,False,False
832,0x911db9b8c292313cddef017ed039003ea7bba49b,98927.57,0.95124334,False,False
846,0x0b2d2308e35a1148389cb88550a0550e96c63a16,34077.082,-0.6317216,False,False
851,0x7199c3d58373d4b82cc5dc026adea00a6413acbd,34077.082,-0.6317216,False,False
853,0x8a52d6e0b5fbff1f4f12517970e77fc6325e12e8,34077.082,-0.6317216,False,False
854,0xaa51e8b8c5f57237cce955fb8c28cad6553e558e,34077.082,-0.6317216,False,False
860,0x1dbe1df6b52fa1cfe6a4760496826995db8613ec,34198.562,-0.62875634,False,False
863,0x8e6932966e9367461824818f35594f85c815a7d6,34198.562,-0.62875634,False,False
870,0x2706e1b89c87d9492c9b040f32125172366623dc,34198.562,-0.62875634,False,False
872,0x8b1443429e65649323554769b79a714020203809,34198.562,-0.62875634,False,False
876,0x785393bfe358db33ac3f28290274478a6c0ca8f9,34198.562,-0.62875634,False,False
878,0x6c47e8e69e9d98cefd1390514d7f437f3acb686e,34198.562,-0.62875634,False,False
894,0x5ba100c1da3640a14efb10788245b5e18dff4892,34198.562,-0.62875634,False,False
895,0x28613e5cf36bbaa2f996e1ab9f984e0f90470d2c,34198.562,-0.62875634,False,False
899,0x8cfc178759406ac4a70511c844cf2b1016e8e0bf,34198.562,-0.62875634,False,False
901,0xa814350da1dd0e935edfcad887eba6baf13799d0,34198.562,-0.62875634,False,False
914,0x0ad425c4371e075f75de7c75f0a3cf48230343db,34077.082,-0.6317216,False,False
918,0x91ea92a32454ea4b0b5132952dc2001c36ce40a7,34099.18,-0.6311822,False,False
919,0x92987d581e02dd4ffe187ed00b6893466e29547a,34061.766,-0.63209546,False,False
922,0x41414f5fc2bb1c5c0263ddd9c68424396b685f66,34198.562,-0.62875634,False,False
924,0xa302c03cbdc0f5a0e70768f158dbe3126780e63e,34061.766,-0.63209546,False,False
928,0x1cd4373579b9ab5f1ffd8674ec65e4c8459f6344,34077.082,-0.6317216,False,False
943,0x90fb87220fac27cb373b7de3fb1580467918f921,34198.562,-0.62875634,False,False
