address,unique_sender_nodes_count,unique_receiver_nodes_count,unique_sender_total_amount,unique_receiver_total_amount,cycle_tx_count,bidirectional_counterparties,closeness_centrality,betweenness_centrality,pagerank,degree_centrality,in_neighbor_count,out_neighbor_count,total_in_tx_count,total_out_tx_count,total_in_amount,total_out_amount,avg_in_amount,avg_out_amount,total_in_gas_used,total_out_gas_used,avg_in_gas_used,avg_out_gas_used,active_days,tx_per_day,amount_per_day,recv_gas_efficiency,send_gas_efficiency,first_tx_time,last_tx_time
0xf3cb983490b1208abf92b84567bafa77e8512b98,0,0,0.0,0.0,2,0,0.3718770215764283,3.7438765797275023e-06,8.109742768327305e-05,0.00025135101168782207,1,1,1,1,389953.0,389953.0,389953.0,389953.0,53098,23098,53098.0,23098.0,2,1.0,389953.0,7.344024257034163,16.882543943198545,1616738272,1618124619
0xf3cc972ae967aee33b37043d982c9eaacadcb0f0,0,0,0.0,0.0,3,0,0.3711634799307604,1.105635166104868e-06,3.634873337386091e-05,0.0003770265175317331,1,1,2,1,2616.0,2616.0,1308.0,2616.0,91260,32286,45630.0,32286.0,3,1.0,1744.0,0.02866535174227482,0.08102583162980859,1624808928,1634977285
0xf3ce66a51d3556b3fbb5fb1111f6cc7c51782c5b,0,0,0.0,0.0,0,0,0.2872101556877123,0.0,3.606087694366617e-05,0.00012567550584391103,1,0,1,0,40.0,0.0,40.0,0.0,53074,0,53074.0,0.0,1,1.0,40.0,0.0007536646945773825,0.0,1603850715,1603850715
0xf3d16f34cb4b627845a7881b7bb6710cecceb12b,0,0,0.0,0.0,0,0,0.2872101556877123,0.0,3.606087694366617e-05,0.00012567550584391103,1,0,1,0,40.0,0.0,40.0,0.0,53074,0,53074.0,0.0,1,1.0,40.0,0.0007536646945773825,0.0,1603850614,1603850614
0xf3d4621fc2b39551aa463b1973da5573ed6e9ae9,0,0,0.0,0.0,2,0,0.3711634799307604,1.105635166104868e-06,3.6376052999427904e-05,0.00025135101168782207,1,1,1,1,2860.0,2860.0,2860.0,2860.0,54186,32286,54186.0,32286.0,2,1.0,2860.0,0.05278116118554608,0.0885832868735675,1625292639,1634977285
0xf3d551debad6134eecc7aecf455f8ba402eccf6f,0,0,0.0,0.0,2,0,0.3718770215764283,3.7438765797275023e-06,9.890728889657389e-05,0.00025135101168782207,1,1,1,1,544144.0,544144.0,544144.0,544144.0,54198,22098,54198.0,22098.0,2,1.0,544144.0,10.039927672607845,24.62412888044167,1623882976,1623929781
0xf3dff41cc47a06b8a2a11fa32de5cfc5b8544e88,0,0,0.0,0.0,4,0,0.3717724295298593,2.244901428235216e-06,5.988654472324257e-05,0.0005027020233756441,1,1,2,2,111370.0,111370.0,55685.0,55685.0,106184,102662,53092.0,51331.0,2,2.0,111370.0,1.0488397498681534,1.0848220373653348,1617279001,1617333995
0xf3f49fc5646ebaef689d6a6c5c6b762a77886920,0,0,0.0,0.0,0,0,0.2810525262823093,0.0,3.609926111133231e-05,0.00012567550584391103,1,0,1,0,376.0,0.0,376.0,0.0,54186,0,54186.0,0.0,1,1.0,376.0,0.006939061750267597,0.0,1636811670,1636811670
0xf3fd12ecc5852b83568e38a3650ada930973c089,0,0,0.0,0.0,2,0,0.3711634799307604,1.105635166104868e-06,5.890903384258559e-05,0.00025135101168782207,1,1,1,1,204109.0,204109.0,204109.0,204109.0,54198,32298,54198.0,32298.0,2,1.0,204109.0,3.765987674821949,6.319555390426652,1624921300,1632373496
0xf4020cb6fa1334285804609e4c945f32caba13ec,0,0,0.0,0.0,0,0,0.2872101556877123,0.0,3.606087694366617e-05,0.00012567550584391103,1,0,1,0,40.0,0.0,40.0,0.0,53074,0,53074.0,0.0,1,1.0,40.0,0.0007536646945773825,0.0,1603845714,1603845714
0xf4140d350e9d55a458c26ab1c0cae5bd5627d337,0,0,0.0,0.0,2,0,0.3711634799307604,1.105635166104868e-06,3.694562240622815e-05,0.00025135101168782207,1,1,1,1,7947.0,7947.0,7947.0,7947.0,53086,32286,53086.0,32286.0,2,1.0,7947.0,0.1497004860038428,0.24614383943504925,1617129634,1634977285
